model,shot_config,rouge1,rouge2,rougeL
google/flan-t5-base,zero-shot,0.2996427512556545,0.07833169129720854,0.23896389057679382
google/flan-t5-base,one-shot,0.30249175410465734,0.0789983579638752,0.2412430928559961
google/flan-t5-base,few-shot,0.29524926686217007,0.08302433198984924,0.24814969976260298
google/flan-t5-large,zero-shot,0.3156253618263737,0.1,0.24280802436507337
google/flan-t5-large,one-shot,0.3198207282913165,0.11666666666666667,0.24253221288515406
google/flan-t5-large,few-shot,0.32857585825027685,0.12642276422764226,0.25374972314507194
